myScore,Num. people in role,Num. transfers to role,Num. transfers from role,Total years in role,Mean years in role,Mean % career in role,Role
0.85010003945072588,7,7,2,34.5,4.9285714285714288,24.288572555735026,Ambassador to Federal Republic of Germany
0.84756493506493502,6,4,2,25.0,4.166666666666667,42.378246753246749,Consul-General Oporto
0.8458533093475602,19,18,7,142.5,7.5,32.894295363516228,Permanent Under-Secretary for Foreign Affairs
0.84493947689450666,22,16,9,109.0,4.9545454545454541,47.527845575315993,Consul-General Marseilles
0.84166666666666667,6,1,1,88.0,14.666666666666666,84.166666666666671,Librarian of the Foreign Office
0.83723302850110248,25,15,10,122.5,4.9000000000000004,55.815535233406834,Consul-General Hamburg
0.83722350219420405,19,11,7,100.5,5.2894736842105265,53.277859230540258,Consul-General Paris
0.83720831267794582,20,23,7,83.0,4.1500000000000004,25.480252994546177,Ambassador to the Netherlands
0.82258064516129037,4,1,1,13.0,3.25,82.258064516129039,Ambassador to Montenegro
0.8214285714285714,1,1,1,11.5,11.5,82.142857142857139,Minister/Ambassador to Peru
0.80771168116369352,10,2,2,91.0,9.0999999999999996,80.771168116369353,Consul-General Beirut
0.79234372712633583,9,8,4,30.5,3.3888888888888888,39.617186356316793,High Commissioner to the Seychelles
0.79032258064516125,1,1,1,24.5,24.5,79.032258064516128,Charge d’Affaires /Minister Resident Saxony
0.78821062318505297,19,20,7,78.5,4.1315789473684212,27.587371811476853,Ambassador to Colombia
0.78802485419141877,9,6,4,57.5,6.3888888888888893,52.534990279427916,Minister to Tuscany
0.7857142857142857,1,1,1,5.5,5.5,78.571428571428569,Commercial Counsellor Chile
0.77500000000000002,2,1,1,10.0,5.0,77.5,Agent and Consul-General Siam
0.77482269503546108,2,2,1,15.0,7.5,38.741134751773053,Charge d’Affaires Peru
0.77142857142857135,2,3,1,11.0,5.5,25.714285714285712,Lieutenant-Governor of the Isle of Man
0.76857142857142857,5,1,1,18.5,3.7000000000000002,76.857142857142861,Head of Treaty and Nationality Department Foreign Office
0.76818944099378883,10,8,4,40.0,4.0,38.409472049689441,Ambassador to El Salvador
0.76450980392156864,3,2,1,9.5,3.1666666666666665,38.225490196078432,Consul-General Rabat
0.76449095444345716,17,16,7,68.5,4.0294117647058822,33.446479256901249,Ambassador to Ecuador
0.7624998689217245,17,19,5,67.5,3.9705882352941178,20.065786024255907,Ambassador to Switzerland
0.76048875759020695,15,11,6,59.5,3.9666666666666668,41.481204959465828,Consul-General Geneva
0.75855118775655417,9,10,3,35.5,3.9444444444444446,22.756535632696625,High Commissioner to Jamaica
0.75757575757575757,1,1,1,12.5,12.5,75.757575757575751,Charge d’Affaires /Minister Resident Colombia
0.75491759702286021,3,4,1,7.5,2.5,18.872939925571504,Ambassador to South Sudan
0.75438596491228072,1,1,1,21.5,21.5,75.438596491228068,Assistant Under-Secretary for the Colonies (West Africa and Eastern)
0.75101214574898778,3,3,1,11.5,3.8333333333333335,25.033738191632928,Permanent Under-Secretary for the Colonies
0.75,1,1,1,7.5,7.5,75.0,High Commissioner to Tonga  and Western Samoa 1973-1977
0.75,1,1,1,7.5,7.5,75.0,Ambassador to Costa Rica  Honduras 1975-1978 and Nicaragua 1976-1979
0.75,1,1,1,4.5,4.5,75.0,Deputy High Commissioner Karachi and Director U.K. Trade and Investment Pakistan
0.74748713515140963,19,16,9,79.5,4.1842105263157894,42.04615135226679,Consul-General Houston
0.74652534965034967,4,3,2,19.0,4.75,49.76835664335664,Minister Resident Ecuador
0.74242424242424254,3,1,1,9.5,3.1666666666666665,74.242424242424249,High Commissioner to Seychelles
0.74134770015311124,21,17,9,105.5,5.0238095238095237,39.247819419870595,Consul-General Zurich
0.73532763532763534,5,2,2,18.5,3.7000000000000002,73.532763532763539,Counsellor and Deputy Head of Mission Switzerland
0.73529411764705888,1,1,1,12.5,12.5,73.529411764705884,Minister/Ambassador to Japan
0.73387484740108921,17,9,7,49.5,2.9117647058823528,57.0791547978625,Ambassador to Outer Mongolia
0.73349177993627701,13,14,4,49.5,3.8076923076923075,20.956907998179343,Ambassador to Thailand
0.73333333333333339,3,1,1,16.5,5.5,73.333333333333343,Head of Claims Department Foreign Office
0.73095893719806748,5,7,3,21.5,4.2999999999999998,31.326811594202898,Consul-General Hong Kong
0.73059595849952952,13,13,4,47.5,3.6538461538461537,22.479875646139369,High Commissioner to Bangladesh
